Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1863,183838,Tocantins,Montevideo,Rio de Janeiro,,4,"Duarte, F.H."
1863,183839,Marambaia,Mangaratiba,Rio de Janeiro,,1,"Castro, Antônio Lopes de"
1863,183840,Pedro II,Parati,Rio de Janeiro,,1,"Machado, Lourenço"
1863,183841,Marambaia,Mangaratiba,Rio de Janeiro,,1,"Castro, Antônio Lopes de"
1863,183842,Pedro II,Parati,Rio de Janeiro,,1,"Machado, Lourenço"
1863,183843,Maria Amália,Macaé,Rio de Janeiro,,3,"Valença, João José de Oliveira"
1863,183844,Maria Amália,Macaé,Rio de Janeiro,,3,"Valença, João José de Oliveira"
1863,183845,Liberdade do Comércio,Caraguatatuba,Rio de Janeiro,,1,"Moraes, José Joaquim de"
1863,183846,Liberdade do Comércio,Caraguatatuba,Rio de Janeiro,,1,"Moraes, José Joaquim de"
1863,183847,Cardia,Rio Grande,Rio de Janeiro,,2,"Cardia, Antônio Gomes"
1863,183848,Cardia,Rio Grande,Rio de Janeiro,,2,"Cardia, Antônio Gomes"
1863,183849,Henrique,Mambucaba,Rio de Janeiro,,1,"Henriques, Joaquim"
1863,183850,Oiapoque,Portos do Norte,Rio de Janeiro,,91,"Ribeiro, Antônio M. da Ponte"
1863,183851,Oiapoque,Portos do Norte,Rio de Janeiro,,91,"Ribeiro, Antônio M. da Ponte"
1863,183852,S Maria,Santos,Rio de Janeiro,,1,"Ferreira, J.S."
1863,183853,Céres,Macaé,Rio de Janeiro,,1,"Bloem, J. Maria de Albuquerque"
1863,183854,Imperatriz,Santa Catarina,Rio de Janeiro,,1,"Laranja, E.L."
1863,183855,Imperatriz,Santa Catarina,Rio de Janeiro,,1,"Laranja, E.L."
1863,183856,Céres,Macaé,Rio de Janeiro,,2,"Bloem, J. Maria de Albuquerque"
1863,183857,S Maria,Santos,Rio de Janeiro,,2,"Ferreira, J.S."
1863,183858,Macaense,Caravelas,Rio de Janeiro,,1,"Corrêa, Caetano Marques de"
1863,183859,Macaense,Caravelas,Rio de Janeiro,,1,"Corrêa, Caetano Marques de"
1863,183860,Floresta,Itabapoana,Rio de Janeiro,,1,"Oliveira, Manoel dos Santos"
1863,183861,Liberal,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Oliveira, Joaquim Gomes de"
1863,183862,Floresta,Itabapoana,Rio de Janeiro,,1,"Santos, Manoel dos"
1863,183863,Liberal,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Oliveira, Joaquim Gomes de"
1863,183864,S Antônio,Cabo Frio,Rio de Janeiro,,3,"Santos, Manoel dos"
1863,183865,S Antônio,Cabo Frio,Rio de Janeiro,,3,"Santos, Manoel dos"
1863,183866,Ribeiro I,"Bahia, place unspecified",Rio de Janeiro,,10,"Vieira, João de Deus"
1863,183867,Ribeiro I,"Bahia, place unspecified",Rio de Janeiro,,10,"Vieira, João de Deus"
1863,183868,S Pedro,Santos,Rio de Janeiro,,2,"Cunha, Pereira da"
1863,183869,S Pedro,Santos,Rio de Janeiro,,2,"Cunha, Pereira da"
1863,183870,Régulo,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Souza, João Ferreia de"
1863,183871,Régulo,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Souza, João Ferreira de"
1863,183872,Carolina,Rio São João,Rio de Janeiro,,1,"Pereira, Joaquim José"
1863,183873,Duarte I,Ubatuba,Rio de Janeiro,,1,"Cunha, Jose Rodrigues"
1863,183874,Carolina,Rio São João,Rio de Janeiro,,1,"Pereira, Joaquim José"
1863,183875,Duarte I,Ubatuba,Rio de Janeiro,,1,"Cunha, José Rodrigues da"
1863,183876,Paquete de Jurumirim,Parati,Rio de Janeiro,,1,"Alves, Elias José"
1863,183877,Paquete de Jurumirim,Parati,Rio de Janeiro,,1,"Alves, Elias José"
1863,183878,Pedro II,Parati,Rio de Janeiro,,1,"Machado, Lourenço"
1863,183879,Marambaia,Mangaratiba,Rio de Janeiro,,2,"Castro, Antônio Lopes de"
1863,183880,Marambaia,Mangaratiba,Rio de Janeiro,,2,"Castro, Antônio Lopes de"
1863,183881,Maria Feliz,Mambucaba,Rio de Janeiro,,4,"Leite, Antônio Ferreira da Silva"
1863,183882,Maria Feliz,Mambucaba,Rio de Janeiro,,4,"Leite, Antônio Ferreira da Silva"
1863,183883,Paquete de Itaguaí,Itajaí,Rio de Janeiro,,1,"Souza, José Antônio de"
1863,183884,Paquete de Itaguaí,Itajaí,Rio de Janeiro,,1,"Souza, José Antônio de"
1863,183885,Céres,Campos,Rio de Janeiro,,1,"Bloem, José Maria de Albuquerque"
1863,183886,Céres,Campos,Rio de Janeiro,,2,"Bloem, José Maria de Albuquerque"
1863,183887,Diligente,Campos,Rio de Janeiro,,4,"Gomes, Carlos Antônio"
1863,183888,Diligente,Campos,Rio de Janeiro,,4,"Gomes, Carlos Antônio"
1863,183889,S Maria,Santos,Rio de Janeiro,,5,"Ferreira, Joaquim da Silva"
1863,183890,S Maria,Santos,Rio de Janeiro,,11,"Ferreira, Joaquim da Silva"
1863,183891,Mercúrio,Macaé,Rio de Janeiro,,1,"Valença, Francisco José de Oliveira"
1863,183892,Mercúrio,Macaé,Rio de Janeiro,,1,"Valença, Francisco José de Oliveira"
1863,183893,Itambé,Santos,Rio de Janeiro,,1,"Fonseca, André Antônio da"
1863,183894,Itambé,Santos,Rio de Janeiro,,1,"Fonseca, André Antônio da"
